subType|len|eType|eBitField|eRSBThresh|eRSTarget|eRSBMax|eTACDenial|eTACOnline|eTACDefault|eACFG
08|0223|00|00|000007D0|00|00|0000000000|F850B8F800|F850B8A000|AC3534933333351B3332AC0030D3CBFBAC7336C333C39332AC063212AC3A313333AC2931312B6C19313B736C053231AC283733333333AC2F3B64637C6003030206AC7A38AC0437AC7432BC32AC0132A430AC3B31AC603261EC4C3733333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333
08|0223|00|00|000007D0|00|00|0000000040|F8F8BCF800|F8F8BCF800|AC3534933333351B3331AC0030D3CBFBAC7336C333C39332AC063212AC3A313333AC2931312B6C19313B736C053231AC283733333333AC2F3B64637C6003030206AC7A38AC0437AC7432BC32AC0132A430AC3B31AC603261EC4C3733333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333
08|0223|00|00|000007D0|00|00|0000000000|0000000000|0000000000|AC3535933333331632AC0030D3CBFBAC7336C333C39332AC063212AC3A313333AC2931312B6C19313B736C053231AC283733333333AC2F3B64637C6003030206AC7A35333333333333A435333333333333AC603261EC4C3733333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333
08|0223|00|00|000007D0|00|50|0010000000|D84004F800|D84000A800|AC3534C35046A4CC4323AC0030D3CBFBAC7336C333C39332AC063212AC3A313333AC2931312B6C19313B736C053231AC283733333333AC2F3B64637C6003030206AC7A35333333333333A435333333333333AC603261EC4C37333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333
08|0223|00|00|000007D0|00|00|0000000040|F850ACF800|F850ACA000|AC353493333333375333AC0030D3CBFBAC7336C333C39332AC063212AC3A313333AC2931312B6C19313B736C053231AC283733333333AC2F3B64637C6003030206AC7A35333333333333A435333333333333AC603261EC4C37333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333
08|0223|00|00|000007D0|00|00|0000000040|D800002000|F8E09CF800|AC353493333332610323AC0030D3CBFBAC7336C333C39332AC063212AC3A313333AC2931312B6C19313B736C053231AC283733333333AC2F3B64637C6003030206AC7A35333333333333A435333333333333AC603261EC4C37333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333
08|0223|00|00|000007D0|00|00|0000000040|F850ACF800|F850ACA000|AC353493333333372323AC0030D3CBFBAC7336C333C39332AC063212AC3A313333AC2931312B6C19313B736C053231AC283733333333AC2F3B64637C6003030206AC7A35333333333333A435333333333333AC603261EC4C37333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333
08|0223|00|00|000007D0|00|00|0000000040|F850ACF800|F850ACA000|AC353493333333370353AC0030D3CBFBAC7336C333C39332AC063212AC3A313333AC2931312B6C19313B736C053231AC283120BBAC2F3B64637C6003030206AC7A35333333333333A435333333333333AC603261EC4C3120BB333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333
08|0223|00|00|000007D0|00|00|0000000000|F850B8F800|F850B8A000|AC353493333336B63032AC0030D3CBFBAC7336C333C39332AC063212AC3A313333AC2931312B6C19313B736C053231AC283733333333AC2F3B64637C6003030206AC7A38AC0437AC7432BC32AC0132A430AC3B31AC603261EC4C3733333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333
08|0223|00|00|000007D0|00|00|0000000000|F850B8F800|F850B8A000|AC353B9333333000323231AC0030D3CBFBAC7336C333C39332AC063212AC3A313333AC2931312B6C19313B736C053231AC283733333333AC2F3B64637C6003030206AC7A38AC0437AC7432BC32AC0132A430AC3B31AC603261EC4C37333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333
08|0223|00|00|000007D0|00|00|0000000000|F850B8F800|F850B8A000|AC353B9333333000323232AC0030D3CBFBAC7336C333C39332AC063212AC3A313333AC2931312B6C19313B736C053231AC283733333333AC2F3B64637C6003030206AC7A38AC0437AC7432BC32AC0132A430AC3B31AC603261EC4C37333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333
08|0223|00|00|000007D0|00|00|0000000000|F850B8F800|F850B8A000|AC353B9333333000323230AC0030D3CBFBAC7336C333C39332AC063212AC3A313333AC2931312B6C19313B736C053231AC283733333333AC2F3B64637C6003030206AC7A38AC0437AC7432BC32AC0132A430AC3B31AC603261EC4C37333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333
08|0223|00|00|000007D0|00|50|0010000000|D84004F800|D84000A800|AC353493333333302323AC0030D3CBFBAC7336C333C39332AC063212AC3A313333AC2931312B6C19313B736C053231AC283733333333AC2F3B64637C6003030206AC7A35333333333333A435333333333333AC603261EC4C37333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333
08|0223|00|00|000007D0|00|50|0010000000|D84004F800|D84000A800|AC35349333333330B323AC0030D3CBFBAC7336C333C39332AC063212AC3A313333AC2931312B6C19313B736C053231AC283733333333AC2F3B64637C6003030206AC7A35333333333333A435333333333333AC603261EC4C37333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333
08|0223|00|00|000007D0|00|50|0010000000|D84004F800|D84000A800|AC353493333333301323AC0030D3CBFBAC7336C333C39332AC063212AC3A313333AC2931312B6C19313B736C053231AC283733333333AC2F3B64637C6003030206AC7A35333333333333A435333333333333AC603261EC4C37333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333
08|0223|00|00|000007D0|00|00|0010000000|D84004F800|D84000A800|AC353493333333300323AC0030D3CBFBAC7336C333C39332AC063212AC3A313333AC2931312B6C19313B736C053231AC283733333333AC2F3B64637C6003030206AC7A35333333333333A435333333333333AC603261EC4C37333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333
